Country Name,Year,Inflation Rate
Nigeria,2000,6.93329215565161
Nigeria,2001,18.8736462093863
Nigeria,2002,12.8765792031099
Nigeria,2003,14.0317836131437
Nigeria,2004,14.9980338183251
Nigeria,2005,17.8634933661605
Nigeria,2006,8.22522152017047
Nigeria,2007,5.38800796858626
Nigeria,2008,11.5810751748252
Nigeria,2009,12.5378277304689
Nigeria,2010,13.7400521363694
Nigeria,2011,10.8261371880017
Nigeria,2012,12.2242413020584
Nigeria,2013,8.49551838265669
Nigeria,2014,8.04741087967907
Nigeria,2015,9.00943498007706
Nigeria,2016,15.6968126387972
Nigeria,2017,16.5022662139641
Nigeria,2018,12.0951065173432
Nigeria,2019,11.3964223378116
Nigeria,2020,13.2460234276597
Nigeria,2021,16.9528457221608
Nigeria,2022,18.8471877843274
Nigeria,2023,24.659550203114
Nigeria,2024,33.2420966545406
