geo_code,nigeria_born,total_occ,prof_occ,caring_occ,year,brain_waste_ratio
E07000176,33.0,52086.0,835.0,2079.0,2001,0.7134522992450241
E06000017,8.0,16566.0,150.0,691.0,2001,0.821640903686088
E07000039,5.0,39998.0,280.0,1841.0,2001,0.8679867986798679
E07000140,5.0,35009.0,101.0,1632.0,2001,0.9417195614541258
E07000141,33.0,61060.0,398.0,2958.0,2001,0.8814064362336115
E07000155,14.0,42098.0,271.0,1749.0,2001,0.8658415841584158
E07000156,24.0,35050.0,152.0,1657.0,2001,0.9159756771697071
E07000142,11.0,35514.0,260.0,2193.0,2001,0.8940073379535263
E09000002,1475.0,65864.0,175.0,3293.0,2001,0.9495386389850058
E09000003,2753.0,145920.0,3041.0,5222.0,2001,0.631973859373109
E09000004,1039.0,103629.0,495.0,4466.0,2001,0.9002217294900222
E09000005,3070.0,118704.0,1491.0,4090.0,2001,0.7328435764199964
E09000006,611.0,141497.0,1577.0,5579.0,2001,0.7796254891000559
E09000007,1488.0,91868.0,2102.0,2433.0,2001,0.5364939360529217
E09000001,22.0,4290.0,82.0,60.0,2001,0.4225352112676056
E09000008,1847.0,156741.0,1251.0,6995.0,2001,0.8482900800388067
E09000009,1064.0,143766.0,1818.0,4508.0,2001,0.7126146063863421
E09000010,1811.0,121257.0,1155.0,5041.0,2001,0.8135894125242091
E09000011,3918.0,91586.0,911.0,4448.0,2001,0.8300055980593394
E09000012,6633.0,79226.0,976.0,3628.0,2001,0.788010425716768
E09000013,984.0,83023.0,1214.0,2306.0,2001,0.6551136363636364
E09000014,2680.0,95732.0,1375.0,3775.0,2001,0.7330097087378641
E09000015,634.0,97759.0,1477.0,3306.0,2001,0.6911979928914906
E09000016,310.0,104537.0,580.0,4355.0,2001,0.8824721377912867
E09000017,435.0,117044.0,784.0,4513.0,2001,0.8519916934113649
E09000018,510.0,103623.0,974.0,3445.0,2001,0.7795881421136004
E09000019,1779.0,79855.0,1138.0,2558.0,2001,0.6920995670995671
E09000020,609.0,75571.0,1139.0,1609.0,2001,0.5855167394468704
E09000021,196.0,74893.0,962.0,2563.0,2001,0.7270921985815603
E09000022,6121.0,130736.0,1654.0,4999.0,2001,0.7513903502179468
E09000023,5297.0,114583.0,1050.0,5498.0,2001,0.8396456933414783
E09000024,763.0,94943.0,1206.0,3532.0,2001,0.7454622203461376
E09000025,5423.0,86428.0,517.0,4416.0,2001,0.8951956213257652
E09000026,983.0,106114.0,1443.0,3856.0,2001,0.727684468767692
E09000027,209.0,89408.0,1123.0,2511.0,2001,0.6909741331865713
E09000028,10673.0,107868.0,1770.0,4979.0,2001,0.7377389242850793
E09000029,334.0,90291.0,842.0,4052.0,2001,0.8279525950143032
E09000030,1012.0,73938.0,978.0,2505.0,2001,0.719207579672696
E09000031,1437.0,97777.0,493.0,4442.0,2001,0.9001013171225937
E09000032,1488.0,141191.0,1898.0,4464.0,2001,0.7016661427224143
E09000033,1299.0,89472.0,1632.0,1779.0,2001,0.5215479331574319
E06000047,65.0,203614.0,1443.0,11066.0,2001,0.8846430569989607
E06000005,14.0,42993.0,412.0,2243.0,2001,0.8448210922787194
E08000037,26.0,78786.0,394.0,4084.0,2001,0.9120142920946851
E06000001,13.0,33762.0,243.0,2006.0,2001,0.891951978657181
E06000002,50.0,49317.0,399.0,3336.0,2001,0.8931726907630522
E08000021,116.0,101498.0,2740.0,5364.0,2001,0.6618953603158934
E08000022,68.0,83698.0,637.0,4557.0,2001,0.8773584905660378
E06000057,52.0,136083.0,1348.0,8719.0,2001,0.8660971491010232
E06000003,11.0,54295.0,276.0,3445.0,2001,0.9258263907551734
E08000023,48.0,58899.0,336.0,3273.0,2001,0.9068994181213632
E06000004,58.0,75904.0,600.0,4131.0,2001,0.8731769181991123
E08000024,50.0,114119.0,504.0,6150.0,2001,0.9242560865644724
E07000026,8.0,41814.0,361.0,2159.0,2001,0.8567460317460317
E07000027,12.0,28849.0,142.0,1741.0,2001,0.9245884227296867
E06000008,35.0,53575.0,414.0,3479.0,2001,0.8936552787053686
E06000009,28.0,59073.0,316.0,3963.0,2001,0.9261509698527693
E08000001,123.0,114415.0,909.0,6373.0,2001,0.8751716561384235
E07000117,9.0,38098.0,251.0,2462.0,2001,0.9074824917065979
E08000002,64.0,83847.0,763.0,4401.0,2001,0.8522463206816422
E07000028,13.0,46858.0,349.0,2302.0,2001,0.8683515654470011
E06000049,73.0,169143.0,1798.0,8097.0,2001,0.8182920667003537
E06000050,54.0,149443.0,1464.0,6721.0,2001,0.8211362248014661
E07000118,9.0,49200.0,406.0,2700.0,2001,0.8692852543464262
E07000029,11.0,29222.0,200.0,1535.0,2001,0.8847262247838616
E07000030,4.0,24752.0,199.0,1099.0,2001,0.8466872110939908
E07000119,8.0,32215.0,368.0,1746.0,2001,0.825922421948912
E06000006,16.0,50363.0,170.0,2722.0,2001,0.9412171507607192
E07000120,6.0,34773.0,135.0,2377.0,2001,0.9462579617834395
E08000011,34.0,54351.0,262.0,3805.0,2001,0.9355790508974674
E07000121,63.0,55906.0,533.0,4047.0,2001,0.8836244541484716
E08000012,579.0,154817.0,2197.0,10191.0,2001,0.822650952534711
E08000003,975.0,142449.0,2158.0,7666.0,2001,0.7803338762214984
E08000004,46.0,92775.0,446.0,4935.0,2001,0.9171157777364802
E07000122,6.0,37042.0,224.0,2128.0,2001,0.9047619047619048
E07000123,56.0,56203.0,554.0,2987.0,2001,0.8435470206156453
E07000124,10.0,26407.0,340.0,1510.0,2001,0.8162162162162162
E08000005,57.0,86867.0,575.0,5155.0,2001,0.8996509598603839
E07000125,7.0,29877.0,200.0,1858.0,2001,0.902818270165209
E08000006,136.0,89920.0,723.0,5201.0,2001,0.8779540850776503
E08000014,56.0,116315.0,1025.0,7526.0,2001,0.880130978832885
E07000031,16.0,48413.0,471.0,2441.0,2001,0.8382554945054945
E07000126,5.0,51327.0,224.0,2668.0,2001,0.9225449515905948
E08000013,20.0,73076.0,414.0,4645.0,2001,0.9181656453844633
E08000007,104.0,136059.0,1487.0,6926.0,2001,0.8232497325567574
E08000008,30.0,96254.0,395.0,5323.0,2001,0.9309199020636586
E08000009,134.0,99146.0,1391.0,4193.0,2001,0.7508954154727794
E06000007,56.0,91286.0,807.0,4270.0,2001,0.8410478629111681
E07000127,13.0,48842.0,520.0,2804.0,2001,0.8435619735258725
E08000010,45.0,135615.0,653.0,7352.0,2001,0.9184259837601499
E08000015,78.0,126397.0,1455.0,8026.0,2001,0.8465351756143866
E07000128,12.0,45036.0,379.0,2618.0,2001,0.8735402068735402
E07000223,23.0,27166.0,117.0,1688.0,2001,0.935180055401662
E07000224,39.0,60400.0,337.0,3914.0,2001,0.9207245354034345
E07000105,49.0,48872.0,475.0,2488.0,2001,0.8396895038812014
E07000004,144.0,86232.0,702.0,4053.0,2001,0.852365930599369
E07000084,79.0,82628.0,561.0,3450.0,2001,0.8601346297681376
E06000036,70.0,60010.0,267.0,2675.0,2001,0.9092454112848403
E06000043,232.0,117551.0,1335.0,5431.0,2001,0.8026899201891812
E07000106,113.0,57035.0,616.0,3742.0,2001,0.8586507572280863
E07000177,37.0,70240.0,487.0,3089.0,2001,0.8638143176733781
E07000225,36.0,47996.0,653.0,2693.0,2001,0.8048416019127316
E07000005,39.0,43123.0,477.0,1795.0,2001,0.7900528169014085
E07000226,84.0,51470.0,211.0,1834.0,2001,0.8968215158924205
E07000107,94.0,42255.0,222.0,2104.0,2001,0.9045571797076526
E07000108,21.0,45040.0,302.0,3153.0,2001,0.9125904486251809
E07000085,37.0,55117.0,462.0,3089.0,2001,0.8698958039988736
