"year","iso2","change_id","iso3","country_full_name","summary","change_mag","change_level","pol_area","pol_tool","target_group","target_origin","target_specific","change_restrict","u_complab_country_year_change_country","u_complab_country_year_change_country_code","u_complab_country_year_change_year","u_complab_country_year_change_change"
1861,"IT","IT1861001","ITA","Italy","a century of emigration 1870 - 1970",999,999,4,28,3,4,"Non applicable",999,"Italy","ITA",1861,"IT1861001"
1861,"MX","MX1861001","MEX","Mexico","registration of aliens introduced",0,4,1,1,2,2,"Non applicable",1,"Mexico","MEX",1861,"MX1861001"
1863,"AT","AT1863001","AUT","Austria","no rights for migrants in destination municipality",0,4,3,20,2,1,"Non applicable",1,"Austria","AUT",1863,"AT1863001"
1863,"ES","ES1863001","ESP","Spain","Latin Americans with Hispanic origin have equal rights as Spanish nationals",1,3,2,16,2,5,"Latin Americans of Hispanic origin",-1,"Spain","ESP",1863,"ES1863001"
1864,"RU","RU1864001","RUS","Russia","5 year residency requirement introduced for naturalisation",0,4,3,21,2,2,"Non applicable",1,"Russia","RUS",1864,"RU1864001"
1866,"NZ","NZ1866001","NZL","New Zealand","naturalisation possible",0,4,3,21,2,2,"Non applicable",-1,"New Zealand","NZL",1866,"NZ1866001"
1867,"CA","CA1867001","CAN","Canada","Immigration key since independence of Canada",999,999,2,28,2,2,"Non applicable",999,"Canada","CAN",1867,"CA1867001"
1867,"CA","CA1867002","CAN","Canada","Immigration as shared jurisdiction",0,4,2,26,2,2,"Non applicable",9,"Canada","CAN",1867,"CA1867002"
1867,"AT","AT1867001","AUT","Austria","emigration facilitated",0,4,4,25,2,4,"Non applicable",-1,"Austria","AUT",1867,"AT1867001"
1867,"NZ","NZ1867001","NZL","New Zealand","prohibition of entry of criminals",0,3,2,13,14,2,"Non applicable",1,"New Zealand","NZL",1867,"NZ1867001"
1867,"FR","FR1867001","FRA","France","shorter residency requirements for naturalisation",0,2,3,21,2,2,"Non applicable",-1,"France","FRA",1867,"FR1867001"
1868,"US","US1868001","USA","United States","restauration of citizenship by birth",0,3,3,21,1,1,"Non-white people",-1,"United States","USA",1868,"US1868001"
1869,"CA","CA1869001","CAN","Canada","Start of open immigration policy",0,4,2,14,3,2,"Non applicable",-1,"Canada","CAN",1869,"CA1869001"
1869,"CA","CA1869002","CAN","Canada","Assisted immigration and reception",0,4,3,17,3,2,"Non applicable",-1,"Canada","CAN",1869,"CA1869002"
1869,"CA","CA1869003","CAN","Canada","Prohibition of entry to certain categories",0,3,2,13,14,2,"Non applicable",1,"Canada","CAN",1869,"CA1869003"
1869,"CA","CA1869004","CAN","Canada","New immigration office overseas",0,3,2,26,2,5,"UK, Europe, US",-1,"Canada","CAN",1869,"CA1869004"
1869,"AR","AR1869001","ARG","Argentina","ius soli laid down",0,4,3,21,1,1,"Non applicable",-1,"Argentina","ARG",1869,"AR1869001"
1869,"AR","AR1869002","ARG","Argentina","naturalisation after two years",0,4,3,21,2,2,"Non applicable",-1,"Argentina","ARG",1869,"AR1869002"
1871,"AT","AT1871001","AUT","Austria","expulsion allowed",0,4,4,24,2,2,"Non applicable",1,"Austria","AUT",1871,"AT1871001"
1872,"CA","CA1872001","CAN","Canada","Assisted settlement and funding",0,4,3,18,3,2,"Non applicable",-1,"Canada","CAN",1872,"CA1872001"
1872,"CA","CA1872002","CAN","Canada","New prohibited categories",0,1,2,13,14,2,"Non applicable",1,"Canada","CAN",1872,"CA1872002"
1872,"CL","CL1872001","CHL","Chile","institutions to regulate settlement of foreigners created",0,3,2,26,2,5,"Europe",-1,"Chile","CHL",1872,"CL1872001"
1873,"NZ","NZ1873001","NZL","New Zealand","start of assisted passage scheme for Europeans",0,3,2,14,2,5,"Europe",-1,"New Zealand","NZL",1873,"NZ1873001"
1874,"CH","CH1874001","CHE","Switzerland","ius sanguinis laid down",0,4,3,21,1,1,"Non applicable",-1,"Switzerland","CHE",1874,"CH1874001"
1874,"CH","CH1874002","CHE","Switzerland","modern naturalisation procedure established",0,4,3,21,2,2,"Non applicable",9,"Switzerland","CHE",1874,"CH1874002"
1874,"IN","IN1874001","IND","India","recruitment of indians for foreign work strictly regulated",0,4,4,14,3,4,"Non applicable",1,"India","IND",1874,"IN1874001"
1875,"US","US1875001","USA","United States","criminals and prostitutes prohibited entry",0,3,2,13,14,2,"Non applicable",1,"United States","USA",1875,"US1875001"
1875,"US","US1875002","USA","United States","sanctions for people trafficking Asians for labour purpose",0,3,1,6,11,5,"Asia",1,"United States","USA",1875,"US1875002"
1875,"US","US1875003","USA","United States","right of appeal granted to irregular migrants",0,4,2,19,11,2,"Non applicable",-1,"United States","USA",1875,"US1875003"
1875,"AR","AR1875001","ARG","Argentina","immigration committee created to spur European migration",0,3,2,26,2,5,"Europe",-1,"Argentina","ARG",1875,"AR1875001"
1876,"US","US1876001","USA","United States","Immigration becomes federal prerogative",0,4,2,26,2,2,"Non applicable",9,"United States","USA",1876,"US1876001"
1876,"AR","AR1876001","ARG","Argentina","Department of immigration created",0,4,2,26,2,2,"Non applicable",9,"Argentina","ARG",1876,"AR1876001"
1876,"AR","AR1876002","ARG","Argentina","eased access to property for foreigners",0,3,3,18,2,5,"Europe",-1,"Argentina","ARG",1876,"AR1876002"
1876,"AR","AR1876003","ARG","Argentina","specific categories excluded from immigration",0,3,2,13,14,2,"Non applicable",1,"Argentina","ARG",1876,"AR1876003"
1876,"MX","MX1876001","MEX","Mexico","sponsoring of immigration to populate and whiten the country",0,3,2,14,2,5,"Europe",-1,"Mexico","MEX",1876,"MX1876001"
1880,"NZ","NZ1880001","NZL","New Zealand","gradual end of assistance due to eco crisis",0,3,2,14,2,5,"Europe",1,"New Zealand","NZL",1880,"NZ1880001"
1881,"NZ","NZ1881001","NZL","New Zealand","Immigration control for Chinese",0,3,2,11,2,5,"China",1,"New Zealand","NZL",1881,"NZ1881001"
1882,"CA","CA1882001","CAN","Canada","first regional anti-Chinese policy",999,999,2,13,3,5,"China",999,"Canada","CAN",1882,"CA1882001"
1882,"NZ","NZ1882001","NZL","New Zealand","measure to prevent specific categories to enter",0,3,1,4,14,2,"Non applicable",1,"New Zealand","NZL",1882,"NZ1882001"
1882,"US","US1882001","USA","United States","Entry prohibited to Chinese",0,3,2,13,2,5,"China",1,"United States","USA",1882,"US1882001"
1882,"US","US1882002","USA","United States","naturalisation of chinese prohibited",0,3,3,21,2,5,"China",1,"United States","USA",1882,"US1882002"
1882,"US","US1882003","USA","United States","expulsion of irregular chinese",0,3,4,24,11,5,"China",1,"United States","USA",1882,"US1882003"
1882,"US","US1882004","USA","United States","head tax on immigrants introduced",0,4,2,9,2,2,"Non applicable",1,"United States","USA",1882,"US1882004"
1882,"US","US1882005","USA","United States","immigration controls introduced",0,4,1,1,2,2,"Non applicable",1,"United States","USA",1882,"US1882005"
1882,"US","US1882006","USA","United States","entry to specific categories prohibited",0,1,2,13,14,2,"Non applicable",1,"United States","USA",1882,"US1882006"
1882,"CL","CL1882001","CHL","Chile","colonist agent created in europe",0,3,2,26,2,5,"Europe",-1,"Chile","CHL",1882,"CL1882001"
1882,"CL","CL1882002","CHL","Chile","institutions to regulate settlement of foreigners consolidated",0,1,2,26,2,5,"Europe",0,"Chile","CHL",1882,"CL1882002"
1883,"MX","MX1883001","MEX","Mexico","foreigners can invest in Mexico",0,4,3,18,2,2,"Non applicable",-1,"Mexico","MEX",1883,"MX1883001"
1884,"FR","FR1884001","FRA","France","foreigners not allowed to direct unions",0,2,3,19,3,2,"Non applicable",0,"France","FRA",1884,"FR1884001"
1885,"CA","CA1885001","CAN","Canada","Entry fee and quota for chinese",0,3,2,11,2,5,"China",1,"Canada","CAN",1885,"CA1885001"
1885,"US","US1885001","USA","United States","Entry prohibited to workers with contract",0,3,2,13,3,2,"Non applicable",1,"United States","USA",1885,"US1885001"
1885,"JP","JP1885001","JPN","Japan","recruitment agreement with Hawai to send workers",1,3,4,14,4,4,"Non applicable",-1,"Japan","JPN",1885,"JP1885001"
1886,"MX","MX1886001","MEX","Mexico","right of residence granted to foreigners",0,4,2,9,2,2,"Non applicable",-1,"Mexico","MEX",1886,"MX1886001"
1886,"MX","MX1886002","MEX","Mexico","civil rights granted to foreigners",0,4,3,19,2,2,"Non applicable",-1,"Mexico","MEX",1886,"MX1886002"
1886,"MX","MX1886003","MEX","Mexico","expulsion of foreigners allowed",0,4,4,24,2,2,"Non applicable",1,"Mexico","MEX",1886,"MX1886003"
1887,"CA","CA1887001","CAN","Canada","mandatory registration of chinese introduced",0,3,1,1,2,5,"China",1,"Canada","CAN",1887,"CA1887001"
1887,"AR","AR1887001","ARG","Argentina","assisted migration from Europe",0,3,2,14,2,5,"Europe",-1,"Argentina","ARG",1887,"AR1887001"
