"year","iso2","change_id","iso3","country_full_name","summary","change_mag","change_level","pol_area","pol_tool","target_group","target_origin","target_specific","change_restrict","u_complab_country_year_change_country","u_complab_country_year_change_country_code","u_complab_country_year_change_year","u_complab_country_year_change_change"
1971,"BR","BR1971001","BRA","Brazil","no work permit needed for Portuguese immigrants",1,3,2,16,3,5,"Portugal",-1,"Brazil","BRA",1971,"BR1971001"
1971,"BR","BR1971002","BRA","Brazil","quasi-citizenship status for Brazilian immigrants",1,3,3,19,2,5,"Portugal",-1,"Brazil","BRA",1971,"BR1971002"
1971,"CL","CL1971001","CHL","Chile","agreement with Argentina on seasonal workers",1,3,2,14,4,5,"Argentina",-1,"Chile","CHL",1971,"CL1971001"
1972,"SE","SE1972001","SWE","Sweden","union decides to reject nberaly all applications for foreign workers",0,4,2,8,3,2,"Non applicable",1,"Sweden","SWE",1972,"SE1972001"
1972,"SE","SE1972002","SWE","Sweden","Asian refugees from Uganda",1,3,2,15,12,5,"Uganda",-1,"Sweden","SWE",1972,"SE1972002"
1972,"TR","TR1972001","TUR","Turkey","Directorate for workers abroad established",0,4,3,26,13,4,"Non applicable",-1,"Turkey","TUR",1972,"TR1972001"
1972,"AU","AU1972001","AUS","Australia","Overhaul of immigration policy due to governmental change, end of White Australia Policy",999,999,2,27,2,2,"Non-white people",999,"Australia","AUS",1972,"AU1972001"
1972,"ES","ES1972001","ESP","Spain","integration facilitation measures for returning workers",0,3,3,22,13,4,"Non applicable",-1,"Spain","ESP",1972,"ES1972001"
1972,"DD","DD1972001","DDR","German Democratic Republic","Visa free circulation with Czechoslovakia",1,3,2,7,1,5,"Czechoslovakia",-1,"German Democratic Republic","DDR",1972,"DD1972001"
1972,"DD","DD1972002","DDR","German Democratic Republic","Visa free circulation with Czechoslovakia abolished",1,3,2,7,1,5,"Czechoslovakia",1,"German Democratic Republic","DDR",1972,"DD1972002"
1972,"FR","FR1972001","FRA","France","deportation of irregular migrants allowed",0,4,4,24,11,2,"Non applicable",1,"France","FRA",1972,"FR1972001"
1972,"FR","FR1972002","FRA","France","regularisation criteria increased significantly",0,3,2,12,11,2,"Non applicable",1,"France","FRA",1972,"FR1972002"
1972,"FR","FR1972003","FRA","France","work and residence permit tied",0,2,2,9,3,2,"Non applicable",1,"France","FRA",1972,"FR1972003"
1972,"FR","FR1972004","FRA","France","right to vote and be elected to workers council granted to all workers",0,4,3,19,3,2,"Non applicable",-1,"France","FRA",1972,"FR1972004"
1972,"CH","CH1972001","CHE","Switzerland","hesitant and punctual resettlement",1,3,2,15,12,2,"Non applicable",-1,"Switzerland","CHE",1972,"CH1972001"
1972,"CH","CH1972002","CHE","Switzerland","shorter family reunification waiting period",0,2,2,9,6,2,"Non applicable",-1,"Switzerland","CHE",1972,"CH1972002"
1972,"CH","CH1972003","CHE","Switzerland","quota for foreign workers reinstalled",0,2,2,11,3,2,"Non applicable",-1,"Switzerland","CHE",1972,"CH1972003"
1972,"CH","CH1972004","CHE","Switzerland","status change residency requirements reduced for italians",1,1,3,8,4,5,"Italy",-1,"Switzerland","CHE",1972,"CH1972004"
1972,"LU","LU1972001","LUX","Luxembourg","foreign workers need to be sponsored by employer",0,4,2,8,3,2,"Non applicable",1,"Luxembourg","LUX",1972,"LU1972001"
1972,"LU","LU1972002","LUX","Luxembourg","employer sanctions introduced",0,3,1,5,11,2,"Non applicable",1,"Luxembourg","LUX",1972,"LU1972002"
1972,"LU","LU1972003","LUX","Luxembourg","immigration service created for integration measures",0,4,3,26,2,2,"Non applicable",9,"Luxembourg","LUX",1972,"LU1972003"
1972,"PL","PL1972001","POL","Poland","free mobility with East Germany",1,4,4,7,1,4,"Non applicable",-1,"Poland","POL",1972,"PL1972001"
1972,"DE","DE1972001","DEU","Germany","more control on recruitment",0,3,2,14,4,5,"Those from countries with recruitment agreements",1,"Germany","DEU",1972,"DE1972001"
1972,"YU","YU1972001","YUG","Yugoslavia","incentives to attract remittances created",0,4,3,18,13,4,"Non applicable",-1,"Yugoslavia","YUG",1972,"YU1972001"
1972,"YU","YU1972002","YUG","Yugoslavia","stricter recruitment procedure",0,2,4,14,3,4,"Non applicable",1,"Yugoslavia","YUG",1972,"YU1972002"
1972,"ZA","ZA1972001","ZAF","South Africa","right to be represented by a lawyer in court",0,4,2,19,2,2,"Non applicable",-1,"South Africa","ZAF",1972,"ZA1972001"
1972,"ZA","ZA1972002","ZAF","South Africa","less judicial control on immigration decisions",0,4,2,19,2,2,"Non applicable",1,"South Africa","ZAF",1972,"ZA1972002"
1972,"CL","CL1972001","CHL","Chile","signature of the Geneva convention",1,999,2,9,12,2,"Non applicable",999,"Chile","CHL",1972,"CL1972001"
1973,"CA","CA1973001","CAN","Canada","Temporary work visa created to alleviate labour shortages",0,4,2,8,3,2,"Non applicable",-1,"Canada","CAN",1973,"CA1973001"
1973,"CA","CA1973002","CAN","Canada","Simplification of appeal procedures for irregular migrants",0,2,3,19,11,2,"Non applicable",-1,"Canada","CAN",1973,"CA1973002"
1973,"CA","CA1973003","CAN","Canada","no right of appeal for immigrant and visitor visa holders",0,4,4,19,11,2,"Non applicable",1,"Canada","CAN",1973,"CA1973003"
1973,"CA","CA1973004","CAN","Canada","Adjustment of status programme",0,4,2,12,2,2,"Non applicable",-1,"Canada","CAN",1973,"CA1973004"
1973,"SE","SE1973001","SWE","Sweden","Chileans refugees after 1973",999,999,2,9,12,5,"Chile",999,"Sweden","SWE",1973,"SE1973001"
1973,"SE","SE1973002","SWE","Sweden","employment service to prepare finnish workers to swedish labour market",1,1,2,26,3,5,"Finland",-1,"Sweden","SWE",1973,"SE1973002"
1973,"SE","SE1973003","SWE","Sweden","language courses provided for migrant workers during paid leave",0,3,3,17,4,2,"Non applicable",-1,"Sweden","SWE",1973,"SE1973003"
1973,"GB","GB1973001","GBR","United Kingdom","UK joined EU",999,999,999,28,999,999,"Non applicable",999,"United Kingdom","GBR",1973,"GB1973001"
1973,"GB","GB1973002","GBR","United Kingdom","Free movement of workers within EU",0,4,2,16,3,3,"EU member states at that time",-1,"United Kingdom","GBR",1973,"GB1973002"
1973,"GB","GB1973003","GBR","United Kingdom","family reunification for European workers",0,4,2,9,6,3,"EU member states at that time",-1,"United Kingdom","GBR",1973,"GB1973003"
1973,"GB","GB1973004","GBR","United Kingdom","Free movement for UK workers",0,4,4,16,3,4,"Non applicable",-1,"United Kingdom","GBR",1973,"GB1973004"
1973,"TR","TR1973001","TUR","Turkey","Labour agreement with Denmark",1,3,4,14,4,4,"Non applicable",-1,"Turkey","TUR",1973,"TR1973001"
1973,"TR","TR1973002","TUR","Turkey","Change in Turkish emigration strategy due to crisis",999,999,4,28,4,4,"Non applicable",999,"Turkey","TUR",1973,"TR1973002"
1973,"AT","AT1973001","AUT","Austria","first immigration high",999,999,2,28,4,2,"Non applicable",999,"Austria","AUT",1973,"AT1973001"
1973,"AU","AU1973001","AUS","Australia","removal of race in immigration decisions",0,3,2,13,2,2,"Non-white people",-1,"Australia","AUS",1973,"AU1973001"
1973,"AU","AU1973002","AUS","Australia","same naturalisation for non-white",0,3,3,21,2,2,"Non-white people",-1,"Australia","AUS",1973,"AU1973002"
1973,"AU","AU1973003","AUS","Australia","precursor of PBS through a two part assessment of immigrants",0,4,2,10,2,2,"Non applicable",9,"Australia","AUS",1973,"AU1973003"
1973,"AU","AU1973004","AUS","Australia","free mobility between AUS and NZ",1,3,2,16,2,5,"New Zealand",-1,"Australia","AUS",1973,"AU1973004"
1973,"AU","AU1973005","AUS","Australia","free mobility between AUS and NZ",1,4,4,16,2,4,"Non applicable",-1,"Australia","AUS",1973,"AU1973005"
1973,"AU","AU1973006","AUS","Australia","Automatic access to social benefits for NZ",1,3,3,18,2,5,"New Zealand",-1,"Australia","AUS",1973,"AU1973006"
1973,"AU","AU1973007","AUS","Australia","Regularisation",0,4,2,12,11,2,"Non applicable",-1,"Australia","AUS",1973,"AU1973007"
1973,"NZ","NZ1973001","NZL","New Zealand","Free movement of workers with Australia",1,3,2,16,2,5,"Australia",-1,"New Zealand","NZL",1973,"NZ1973001"
1973,"NZ","NZ1973002","NZL","New Zealand","free mobility between AUS and NZ",1,4,4,16,2,4,"Non applicable",-1,"New Zealand","NZL",1973,"NZ1973002"
1973,"NZ","NZ1973003","NZL","New Zealand","Automatic access to social benefits for AUS",1,3,3,18,2,5,"Australia",-1,"New Zealand","NZL",1973,"NZ1973003"
1973,"NZ","NZ1973004","NZL","New Zealand","UK joins EU",999,999,999,28,999,999,"Non applicable",999,"New Zealand","NZL",1973,"NZ1973004"
1973,"DD","DD1973001","DDR","German Democratic Republic","asylum given to chilean officials",0,3,2,9,12,5,"Chile",-1,"German Democratic Republic","DDR",1973,"DD1973001"
1973,"NL","NL1973001","NLD","Netherlands","Recruitment stop",0,3,2,14,4,2,"Non applicable",1,"Netherlands","NLD",1973,"NL1973001"
1973,"FR","FR1973001","FRA","France","Regularisation",0,3,2,12,11,2,"Non applicable",-1,"France","FRA",1973,"FR1973001"
1973,"FR","FR1973002","FRA","France","passport stamp to signal no right to work",0,4,1,2,1,2,"Non applicable",1,"France","FRA",1973,"FR1973002"
1973,"FR","FR1973003","FRA","France","Algerian government stops emigration to France",999,999,2,28,3,5,"Algeria",999,"France","FRA",1973,"FR1973003"
1973,"FR","FR1973004","FRA","France","facilitated access to temporary residence permits",0,2,2,9,3,2,"Non applicable",-1,"France","FRA",1973,"FR1973004"
1973,"GR","GR1973001","GRC","Greece","Oil Crisis and return migration",999,999,3,28,13,4,"Non applicable",999,"Greece","GRC",1973,"GR1973001"
1973,"GR","GR1973002","GRC","Greece","more work permits granted to foreigners in greece",999,999,2,28,3,2,"Non applicable",999,"Greece","GRC",1973,"GR1973002"
1973,"IE","IE1973001","IRL","Ireland","Ireland joined the EU",999,999,999,28,999,999,"Non applicable",999,"Ireland","IRL",1973,"IE1973001"
1973,"IE","IE1973002","IRL","Ireland","Free movement for Irish workers",0,4,4,16,3,4,"Non applicable",-1,"Ireland","IRL",1973,"IE1973002"
1973,"IE","IE1973003","IRL","Ireland","transitional restriction on free movement of workers within EU",0,2,2,8,3,3,"EU member states at that time",0,"Ireland","IRL",1973,"IE1973003"
1973,"IE","IE1973004","IRL","Ireland","chilean resettlement programme",1,3,2,15,12,5,"Chile",-1,"Ireland","IRL",1973,"IE1973004"
1973,"CH","CH1973001","CHE","Switzerland","very important return wave of unemployed foreigners",999,999,4,28,4,2,"Non applicable",999,"Switzerland","CHE",1973,"CH1973001"
1973,"CH","CH1973002","CHE","Switzerland","quota for foreign workers increased",0,2,2,11,3,2,"Non applicable",-1,"Switzerland","CHE",1973,"CH1973002"
1973,"FI","FI1973001","FIN","Finland","chilean refugees resettled to finland",1,3,2,15,12,5,"Chile",-1,"Finland","FIN",1973,"FI1973001"
1973,"FI","FI1973002","FIN","Finland","employment service to prepare swedish workers to finnish labour market",1,1,2,26,3,5,"Sweden",-1,"Finland","FIN",1973,"FI1973002"
1973,"FI","FI1973003","FIN","Finland","stopping emigration as primary policy aim",999,999,4,28,3,4,"Non applicable",999,"Finland","FIN",1973,"FI1973003"
1973,"DK","DK1973001","DNK","Denmark","DK entered the EU",999,999,999,28,999,999,"Non applicable",999,"Denmark","DNK",1973,"DK1973001"
1973,"DK","DK1973002","DNK","Denmark","Free movement of workers within EU",0,4,2,16,3,3,"EU member states at that time",-1,"Denmark","DNK",1973,"DK1973002"
1973,"DK","DK1973003","DNK","Denmark","family reunification for European workers",0,4,2,9,6,3,"EU member states at that time",-1,"Denmark","DNK",1973,"DK1973003"
1973,"DK","DK1973004","DNK","Denmark","Free movement for Danish workers",0,4,4,16,3,4,"Non applicable",-1,"Denmark","DNK",1973,"DK1973004"
1973,"DK","DK1973005","DNK","Denmark","quota introduced",0,4,2,11,2,2,"Non applicable",-1,"Denmark","DNK",1973,"DK1973005"
1973,"DK","DK1973006","DNK","Denmark","immigration stop",0,2,2,9,2,2,"Non applicable",1,"Denmark","DNK",1973,"DK1973006"
1973,"MA","MA1973001","MAR","Morocco","Oil crisis leads to family reunficiation instead of labour migrants",999,999,4,28,6,4,"Non applicable",999,"Morocco","MAR",1973,"MA1973001"
1973,"MA","MA1973002","MAR","Morocco","creation of amicales to control moroccan diaspora",0,4,3,17,13,1,"Non applicable",-1,"Morocco","MAR",1973,"MA1973002"
1973,"HU","HU1973001","HUN","Hungary","Chilean refugees arrive",999,999,2,9,12,5,"Chile",999,"Hungary","HUN",1973,"HU1973001"
1973,"DE","DE1973001","DEU","Germany","recruitment stop (de facto only restriction)",0,3,2,14,4,2,"Non applicable",1,"Germany","DEU",1973,"DE1973001"
1973,"DE","DE1973002","DEU","Germany","start of integration programmes",0,4,3,17,2,2,"Non applicable",-1,"Germany","DEU",1973,"DE1973002"
1973,"DE","DE1973003","DEU","Germany","Turkey program to reintegrate industry workers",1,3,4,22,3,5,"Turkey",-1,"Germany","DEU",1973,"DE1973003"
1973,"YU","YU1973001","YUG","Yugoslavia","return discourse appears at highest level",999,999,3,27,13,4,"Non applicable",999,"Yugoslavia","YUG",1973,"YU1973001"
1973,"YU","YU1973002","YUG","Yugoslavia","stricter recruitment procedure",0,2,4,14,3,4,"Non applicable",1,"Yugoslavia","YUG",1973,"YU1973002"
1973,"ZA","ZA1973001","ZAF","South Africa","labour recruitment agreement with Lesotho",1,3,2,14,4,5,"Lesotho",-1,"South Africa","ZAF",1973,"ZA1973001"
1973,"CL","CL1973001","CHL","Chile","military coup and regime turns Chile into emigration country",999,999,4,28,1,4,"Non applicable",999,"Chile","CHL",1973,"CL1973001"
1974,"CA","CA1974001","CAN","Canada","Integration program created",0,4,3,17,2,2,"Non applicable",-1,"Canada","CAN",1974,"CA1974001"
1974,"CA","CA1974002","CAN","Canada","Seasonal workers program with Mexico",1,3,2,14,4,5,"Mexico",-1,"Canada","CAN",1974,"CA1974002"
1974,"PT","PT1974001","PRT","Portugal","End of dictatorship",999,999,999,28,999,999,"Non applicable",999,"Portugal","PRT",1974,"PT1974001"
1974,"PT","PT1974002","PRT","Portugal","No return policy for emigrants yet",999,999,3,27,13,4,"Non applicable",999,"Portugal","PRT",1974,"PT1974002"
1974,"GB","GB1974001","GBR","United Kingdom","Regularisation of people from former colonies",0,3,2,12,11,4,"Commonwealth countries, colonies and former colonies",-1,"United Kingdom","GBR",1974,"GB1974001"
1974,"AT","AT1974001","AUT","Austria","no work permits for tourists any more",0,4,2,8,3,2,"Non applicable",1,"Austria","AUT",1974,"AT1974001"
1974,"AT","AT1974002","AUT","Austria","right to vote in works council - no change for foreigners",0,2,3,19,3,2,"Non applicable",0,"Austria","AUT",1974,"AT1974002"
1974,"AT","AT1974003","AUT","Austria","higher quota for foreign workers",0,2,2,11,3,2,"Non applicable",-1,"Austria","AUT",1974,"AT1974003"
1974,"NZ","NZ1974001","NZL","New Zealand","new immigration system with four categories",0,4,2,9,2,2,"Non applicable",9,"New Zealand","NZL",1974,"NZ1974001"
1974,"NZ","NZ1974002","NZL","New Zealand","shift towards skills-based immigration",0,4,2,9,2,2,"Non applicable",1,"New Zealand","NZL",1974,"NZ1974002"
1974,"NZ","NZ1974003","NZL","New Zealand","specific nationalities exempted from entry requirements",0,1,2,16,2,5,"Australia, Cook Islands, Niue, Tokelau",0,"New Zealand","NZL",1974,"NZ1974003"
1974,"NZ","NZ1974004","NZL","New Zealand","end of preferential treatment of UK, CAN and Irish Citizens",0,3,2,16,2,5,"people of British or Irish birth or descent",1,"New Zealand","NZL",1974,"NZ1974004"
1974,"NZ","NZ1974005","NZL","New Zealand","language restrictions removed",0,4,2,9,2,2,"Non applicable",-1,"New Zealand","NZL",1974,"NZ1974005"
1974,"NZ","NZ1974006","NZL","New Zealand","raids on homes of pacific islanders",0,1,1,1,2,5,"Pacific Islanders",1,"New Zealand","NZL",1974,"NZ1974006"
1974,"IT","IT1974001","ITA","Italy","National Conference on Emigration",999,999,4,28,2,4,"Non applicable",999,"Italy","ITA",1974,"IT1974001"
1974,"IT","IT1974002","ITA","Italy","migration balance shifts from emigration to immigration",999,999,2,28,2,2,"Non applicable",999,"Italy","ITA",1974,"IT1974002"
1974,"ES","ES1974001","ESP","Spain","creation of office to assist return of Spanish workers",0,2,2,26,13,4,"Non applicable",-1,"Spain","ESP",1974,"ES1974001"
1974,"ES","ES1974002","ESP","Spain","created rather liberal rules for entry into Spain",0,4,2,7,1,2,"Non applicable",1,"Spain","ESP",1974,"ES1974002"
1974,"ES","ES1974003","ESP","Spain","created two residence permits",0,4,2,9,2,2,"Non applicable",1,"Spain","ESP",1974,"ES1974003"
1974,"ES","ES1974004","ESP","Spain","created the rules for expulsion",0,4,4,24,2,2,"Non applicable",1,"Spain","ESP",1974,"ES1974004"
1974,"ES","ES1974005","ESP","Spain","migration balance changes, effect of oil crisis",999,999,4,28,3,4,"Non applicable",999,"Spain","ESP",1974,"ES1974005"
1974,"DD","DD1974001","DDR","German Democratic Republic","Recruitment agreement with Algeria",1,3,2,14,4,5,"Algeria",-1,"German Democratic Republic","DDR",1974,"DD1974001"
1974,"BE","BE1974001","BEL","Belgium","Recruitment stop",0,3,2,14,4,2,"Non applicable",1,"Belgium","BEL",1974,"BE1974001"
1974,"BE","BE1974002","BEL","Belgium","First regularisation",0,4,2,12,11,2,"Non applicable",-1,"Belgium","BEL",1974,"BE1974002"
1974,"BE","BE1974003","BEL","Belgium","Increased employer introduced",0,3,1,5,11,2,"Non applicable",1,"Belgium","BEL",1974,"BE1974003"
1974,"BE","BE1974004","BEL","Belgium","Islamic faith is recognized",0,3,3,19,1,1,"Non applicable",-1,"Belgium","BEL",1974,"BE1974004"
1974,"NL","NL1974001","NLD","Netherlands","New refugee status for those who cannot be expelled",0,4,2,9,12,2,"Non applicable",-1,"Netherlands","NLD",1974,"NL1974001"
1974,"NL","NL1974002","NLD","Netherlands","Governmental memorandum  advocates voluntary return policy",999,999,4,27,3,2,"Non applicable",999,"Netherlands","NLD",1974,"NL1974002"
1974,"NL","NL1974003","NLD","Netherlands","Discussions in Parliament on draft law",999,999,2,8,3,2,"Non applicable",999,"Netherlands","NLD",1974,"NL1974003"
1974,"FR","FR1974001","FRA","France","recruitment stop",0,3,2,14,4,2,"Non applicable",1,"France","FRA",1974,"FR1974001"
1974,"FR","FR1974002","FRA","France","family reunification suspended",0,4,2,9,6,2,"Non applicable",1,"France","FRA",1974,"FR1974002"
1974,"FR","FR1974003","FRA","France","programme of action for immigration policy",999,999,2,27,3,2,"Non applicable",999,"France","FRA",1974,"FR1974003"
1974,"FR","FR1974004","FRA","France","end of preferential treatment of African countries, assimilation into general stay permit system",0,3,2,16,2,5,"Senegal, Central Africa, Congo, Dahome, Ivory Coast, Mauritania, Mali, Nigeria, Tchad, Togo, Volta, Gabon, Guinea, Cameroun",1,"France","FRA",1974,"FR1974004"
1974,"FR","FR1974005","FRA","France","France failure to agree on return of Algerians with government",1,999,4,22,3,5,"Algeria",999,"France","FRA",1974,"FR1974005"
1974,"GR","GR1974001","GRC","Greece","Democracy, development and return",999,999,999,28,999,999,"Non applicable",999,"Greece","GRC",1974,"GR1974001"
1974,"CH","CH1974001","CHE","Switzerland","popular initiative to reduce immigration fail, but have impact on future policies",999,999,2,11,2,2,"Non applicable",999,"Switzerland","CHE",1974,"CH1974001"
1974,"CH","CH1974002","CHE","Switzerland","quota for foreign workers decreased",0,2,2,11,3,2,"Non applicable",1,"Switzerland","CHE",1974,"CH1974002"
1974,"MA","MA1974001","MAR","Morocco","emigration as strategy to fight unemployment",999,999,4,27,3,4,"Non applicable",999,"Morocco","MAR",1974,"MA1974001"
1974,"MA","MA1974002","MAR","Morocco","reintegration programme for moroccans in the NL initiatiated",999,999,3,22,13,4,"Non applicable",999,"Morocco","MAR",1974,"MA1974002"
1974,"DE","DE1974001","DEU","Germany","government aims at max 12% immigrant residents in towns",0,4,3,11,2,2,"Non applicable",1,"Germany","DEU",1974,"DE1974001"
1974,"DE","DE1974002","DEU","Germany","family reunification granted as a right",0,4,2,9,6,2,"Non applicable",-1,"Germany","DEU",1974,"DE1974002"
1974,"RU","RU1974001","RUS","Russia","internal passport system extended to villagers, now allowed to move",0,3,1,25,1,4,"Rural residents",-1,"Russia","RUS",1974,"RU1974001"
1974,"RU","RU1974002","RUS","Russia","internal passport system extended to villagers, now also registeres",0,3,1,1,1,4,"Rural residents",1,"Russia","RUS",1974,"RU1974002"
1974,"YU","YU1974001","YUG","Yugoslavia","sub-citizenship introduced",0,4,3,21,1,4,"Non applicable",9,"Yugoslavia","YUG",1974,"YU1974001"
1974,"YU","YU1974002","YUG","Yugoslavia","cooperation on reintegration started",1,4,3,22,13,4,"Non applicable",-1,"Yugoslavia","YUG",1974,"YU1974002"
1974,"AR","AR1974001","ARG","Argentina","regularisation of people fleeing from military dictatorships in neighbouring countries",0,3,2,12,11,5,"Neighbouring countries",-1,"Argentina","ARG",1974,"AR1974001"
1974,"AR","AR1974002","ARG","Argentina","commission to foster return of argentinians",0,2,2,26,13,4,"Non applicable",-1,"Argentina","ARG",1974,"AR1974002"
1974,"MX","MX1974001","MEX","Mexico","Recruitment agreement with Canada",1,3,4,14,4,4,"Non applicable",-1,"Mexico","MEX",1974,"MX1974001"
1974,"MX","MX1974002","MEX","Mexico","restrictive work visa policy enforced",0,4,2,8,3,2,"Non applicable",1,"Mexico","MEX",1974,"MX1974002"
1974,"MX","MX1974003","MEX","Mexico","family reunification allowed",0,4,2,9,6,2,"Non applicable",-1,"Mexico","MEX",1974,"MX1974003"
1974,"MX","MX1974004","MEX","Mexico","consolidated permanent residency after 5 years",0,2,3,20,2,2,"Non applicable",0,"Mexico","MEX",1974,"MX1974004"
1974,"MX","MX1974005","MEX","Mexico","registration requirement consolidated",0,2,1,1,2,2,"Non applicable",0,"Mexico","MEX",1974,"MX1974005"
1974,"MX","MX1974006","MEX","Mexico","exit requirements reinforced for emigrant workers",0,4,4,25,3,4,"Non applicable",1,"Mexico","MEX",1974,"MX1974006"
1974,"MX","MX1974007","MEX","Mexico","sanction for irregular entry and stay introduced",0,4,1,6,11,2,"Non applicable",1,"Mexico","MEX",1974,"MX1974007"
1974,"MX","MX1974008","MEX","Mexico","foreigners need permission to acquire property",0,2,3,18,2,2,"Non applicable",-1,"Mexico","MEX",1974,"MX1974008"
1974,"MX","MX1974009","MEX","Mexico","employer sanctions introduced",0,3,1,5,11,2,"Non applicable",1,"Mexico","MEX",1974,"MX1974009"
1974,"ID","ID1974001","IDN","Indonesia","restriction of work access for foreigners",0,4,2,8,3,2,"Non applicable",1,"Indonesia","IDN",1974,"ID1974001"
1975,"CA","CA1975001","CAN","Canada","Green paper recommends to focus on settlement",999,999,2,27,2,2,"Non applicable",999,"Canada","CAN",1975,"CA1975001"
1975,"PT","PT1975001","PRT","Portugal","independence of colonies spurrs return wave",999,999,3,28,13,4,"Non applicable",999,"Portugal","PRT",1975,"PT1975001"
1975,"PT","PT1975002","PRT","Portugal","creation of Secretariat of State for Repatriates",0,2,2,26,13,4,"Non applicable",-1,"Portugal","PRT",1975,"PT1975002"
1975,"PT","PT1975003","PRT","Portugal","Account system for emigrant workers created",0,4,3,18,13,4,"Non applicable",-1,"Portugal","PRT",1975,"PT1975003"
1975,"PT","PT1975004","PRT","Portugal","restrictive changes to citizenship law away from ius soli",0,3,3,21,1,1,"Those born or living in former colonies",1,"Portugal","PRT",1975,"PT1975004"
1975,"PT","PT1975005","PRT","Portugal","Emigration wave to Brazil of high qualified",999,999,4,28,5,4,"Non applicable",999,"Portugal","PRT",1975,"PT1975005"
1975,"SE","SE1975001","SWE","Sweden","equal access to social system for migrants",0,2,3,18,2,2,"Non applicable",0,"Sweden","SWE",1975,"SE1975001"
1975,"SE","SE1975002","SWE","Sweden","freedom of choice supported concerning integration",0,4,3,18,2,2,"Non applicable",-1,"Sweden","SWE",1975,"SE1975002"
1975,"SE","SE1975003","SWE","Sweden","Advisory Council on Immigrant Affairs created",0,4,3,26,2,2,"Non applicable",9,"Sweden","SWE",1975,"SE1975003"
1975,"SE","SE1975004","SWE","Sweden","two new refugee categories created",0,4,2,9,12,2,"Non applicable",-1,"Sweden","SWE",1975,"SE1975004"
1975,"TR","TR1975001","TUR","Turkey","bank created to encourage investments by diaspora",0,4,3,18,13,4,"Non applicable",-1,"Turkey","TUR",1975,"TR1975001"
1975,"TR","TR1975002","TUR","Turkey","Labour agreement with Libya",1,3,4,14,4,4,"Non applicable",-1,"Turkey","TUR",1975,"TR1975002"
1975,"AT","AT1975001","AUT","Austria","strict regulation of employment permits and primacy of natives",0,4,2,8,3,2,"Non applicable",1,"Austria","AUT",1975,"AT1975001"
1975,"AT","AT1975002","AUT","Austria","enshrined contingent policy into law",0,2,2,26,3,2,"Non applicable",1,"Austria","AUT",1975,"AT1975002"
1975,"AU","AU1975001","AUS","Australia","migration programme smaller",0,2,2,11,2,2,"Non applicable",-1,"Australia","AUS",1975,"AU1975001"
1975,"AU","AU1975002","AUS","Australia","prohibition of racial discrimination",0,4,3,19,1,1,"Non applicable",-1,"Australia","AUS",1975,"AU1975002"
1975,"AU","AU1975003","AUS","Australia","Resettlement of Vietnamese refugees",1,3,2,15,12,5,"Vietnam",-1,"Australia","AUS",1975,"AU1975003"
1975,"NZ","NZ1975001","NZL","New Zealand","Tongan Work Permit Scheme introduced",1,3,2,14,4,5,"Tonga",-1,"New Zealand","NZL",1975,"NZ1975001"
1975,"NZ","NZ1975002","NZL","New Zealand","End of the Assisted passage scheme",0,3,2,14,3,5,"British citizens ‘of European race and colour’",1,"New Zealand","NZL",1975,"NZ1975002"
1975,"NL","NL1975001","NLD","Netherlands","extension of family reunification",0,4,2,9,6,2,"Non applicable",-1,"Netherlands","NLD",1975,"NL1975001"
1975,"NL","NL1975002","NLD","Netherlands","regularisation of irregular workers",0,3,2,12,11,2,"Non applicable",-1,"Netherlands","NLD",1975,"NL1975002"
1975,"NL","NL1975003","NLD","Netherlands","Cap on new work permits for low-skilled",0,3,2,11,4,2,"Non applicable",1,"Netherlands","NLD",1975,"NL1975003"
1975,"NL","NL1975004","NLD","Netherlands","Surinamese independence led to increased migration",999,999,999,28,999,5,"Surinam",999,"Netherlands","NLD",1975,"NL1975004"
1975,"NL","NL1975005","NLD","Netherlands","Surinamese granted free mobility and settlement rights",1,3,2,16,2,5,"Surinam",0,"Netherlands","NLD",1975,"NL1975005"
1975,"FR","FR1975001","FRA","France","unemployment benefits extended to foreign workers",0,3,3,18,3,2,"Non applicable",-1,"France","FRA",1975,"FR1975001"
1975,"FR","FR1975002","FRA","France","free repatriation for unemployed foreigners",0,3,4,22,3,2,"Non applicable",-1,"France","FRA",1975,"FR1975002"
1975,"FR","FR1975003","FRA","France","foreigners allowed to be trade union delegates",0,2,3,19,3,2,"Non applicable",-1,"France","FRA",1975,"FR1975003"
1975,"FR","FR1975004","FRA","France","procedure to give family members access to work",0,4,3,8,6,2,"Non applicable",1,"France","FRA",1975,"FR1975004"
1975,"CH","CH1975001","CHE","Switzerland","quota for foreign workers stabilized at a certain level for the next 15 years",0,2,2,11,3,2,"Non applicable",9,"Switzerland","CHE",1975,"CH1975001"
1975,"US","US1975001","USA","United States","financial and resettlement assistance to indochinese refugees",1,3,2,15,12,5,"Indochina",-1,"United States","USA",1975,"US1975001"
1975,"NO","NO1975001","NOR","Norway","Immigration stop",0,4,2,8,3,2,"Non applicable",1,"Norway","NOR",1975,"NO1975001"
1975,"NO","NO1975002","NOR","Norway","facilitation of family reunion",0,2,2,9,6,2,"Non applicable",-1,"Norway","NOR",1975,"NO1975002"
1975,"FI","FI1975001","FIN","Finland","voting rights for diaspora",0,4,3,19,13,4,"Non applicable",-1,"Finland","FIN",1975,"FI1975001"
